         667560615 function calls (667559440 primitive calls) in 34.950 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:94(sha3_384)
        1    0.000    0.000    0.000    0.000 __init__.py:98(sha3_512)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:8(<module>)
       12    0.000    0.000    0.000    0.000 _functools.py:42(__init__)
       12    0.000    0.000    0.000    0.000 _functools.py:77(__call__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      222    0.001    0.000    0.001    0.000 _weakrefset.py:77(__contains__)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:88(add)
       10    0.000    0.000    0.000    0.000 abc.py:132(__new__)
       10    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 abc.py:151(register)
      142    0.001    0.000    0.003    0.000 abc.py:180(__instancecheck__)
     10/3    0.000    0.000    0.000    0.000 abc.py:196(__subclasscheck__)
       10    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 argparse.py:1009(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1028(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1054(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1056(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:109(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1150(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1204(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1224(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:150(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1531(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1565(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1585(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:200(_Section)
        1    0.000    0.000    0.001    0.001 argparse.py:3(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:641(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:652(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:663(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:680(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:713(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:733(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:742(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:833(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:868(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:891(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:908(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:925(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:962(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:988(_CountAction)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.031    0.031 certificate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cipher_streamer.py:3(<module>)
        1    0.000    0.000    0.000    0.000 cipher_streamer.py:64(CipherStreamer)
        1    0.000    0.000    0.000    0.000 cipher_streamer.py:94(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
     1562    0.002    0.000    0.009    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
        5    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
        5    0.001    0.000    0.002    0.000 enum.py:124(__new__)
        5    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        5    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       10    0.000    0.000    0.000    0.000 enum.py:181(<genexpr>)
       56    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
      297    0.000    0.000    0.003    0.000 enum.py:267(__call__)
       66    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        5    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
        5    0.000    0.000    0.000    0.000 enum.py:337(__members__)
       91    0.000    0.000    0.000    0.000 enum.py:353(__setattr__)
       66    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        5    0.000    0.000    0.002    0.000 enum.py:366(_create_)
       15    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
        5    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
      292    0.001    0.000    0.001    0.000 enum.py:517(__new__)
       51    0.000    0.000    0.000    0.000 enum.py:594(name)
        3    0.000    0.000    0.000    0.000 enum.py:599(value)
        5    0.000    0.000    0.006    0.001 enum.py:604(_convert)
        5    0.003    0.001    0.004    0.001 enum.py:625(<listcomp>)
       56    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
        5    0.000    0.000    0.000    0.000 enum.py:65(__init__)
       66    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
        3    0.000    0.000    0.000    0.000 enum.py:760(_missing_)
        3    0.000    0.000    0.000    0.000 enum.py:767(_create_pseudo_member_)
       17    0.000    0.000    0.000    0.000 enum.py:797(__or__)
      129    0.000    0.000    0.001    0.000 enum.py:803(__and__)
       12    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
        3    0.000    0.000    0.000    0.000 enum.py:839(_decompose)
        1    0.000    0.000    0.000    0.000 enum.py:850(<listcomp>)
        2    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
       13    0.000    0.000    0.000    0.000 enum.py:868(<lambda>)
       15    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
        1    0.000    0.000    0.021    0.021 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:24(SSLError)
        1    0.000    0.000    0.000    0.000 error.py:38(SSLZeroReturnError)
        1    0.000    0.000    0.000    0.000 error.py:41(SSLWantReadError)
        1    0.000    0.000    0.000    0.000 error.py:46(SSLWantWriteError)
        1    0.000    0.000    0.000    0.000 error.py:51(SSLSyscallError)
        1    0.000    0.000    0.000    0.000 error.py:54(SSLEOFError)
        1    0.000    0.000    0.000    0.000 errorcodes.py:4(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
     1943    0.001    0.000    0.001    0.000 frozen _structseq:22(__get__)
      302    0.003    0.000    0.004    0.000 frozen _structseq:77(structseq_new)
       28    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:106(_write_atomic)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1080(_path_hooks)
      209    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:1093(_path_importer_cache)
       45    0.000    0.000    0.011    0.000 frozen importlib._bootstrap_external:1130(_get_spec)
       45    0.000    0.000    0.011    0.000 frozen importlib._bootstrap_external:1162(find_spec)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1209(__init__)
       36    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1215(<genexpr>)
       38    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1241(_get_spec)
      168    0.001    0.000    0.010    0.000 frozen importlib._bootstrap_external:1246(find_spec)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1294(_fill_cache)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:1335(path_hook_for_FileFinder)
       68    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:276(cache_from_source)
       38    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:374(_get_cached)
       28    0.000    0.000    0.002    0.000 frozen importlib._bootstrap_external:386(_calc_mode)
       34    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:406(_check_name_wrapper)
      168    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:41(_relax_case)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:443(_validate_bytecode_header)
       56    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:47(_w_long)
        6    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:498(_compile_bytecode)
       28    0.000    0.000    0.006    0.000 frozen importlib._bootstrap_external:510(_code_to_bytecode)
       12    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:52(_r_long)
       38    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:537(spec_from_file_location)
      536    0.000    0.000    0.002    0.000 frozen importlib._bootstrap_external:57(_path_join)
      536    0.001    0.000    0.001    0.000 frozen importlib._bootstrap_external:59(<listcomp>)
       96    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:63(_path_split)
       34    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:682(create_module)
     34/5    0.000    0.000    0.361    0.072 frozen importlib._bootstrap_external:685(exec_module)
       28    0.000    0.000    0.116    0.004 frozen importlib._bootstrap_external:748(source_to_code)
