         667560615 function calls (667559440 primitive calls) in 34.950 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 socket.py:130(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.010    0.010 socket.py:4(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:543(SocketIO)
      258    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      259    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      260    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      261    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       14    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
       14    0.000    0.000    0.000    0.000 sre_compile.py:250(_optimize_charset)
        8    0.000    0.000    0.000    0.000 sre_compile.py:376(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
        9    0.000    0.000    0.000    0.000 sre_compile.py:392(_simple)
      4/3    0.000    0.000    0.000    0.000 sre_compile.py:418(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:445(_get_charset_prefix)
        5    0.000    0.000    0.001    0.000 sre_compile.py:486(_compile_info)
       10    0.000    0.000    0.000    0.000 sre_compile.py:543(isstring)
        5    0.000    0.000    0.002    0.000 sre_compile.py:546(_code)
        5    0.000    0.000    0.004    0.001 sre_compile.py:561(compile)
     30/5    0.000    0.000    0.001    0.000 sre_compile.py:64(_compile)
       30    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       34    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       96    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       41    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
    45/20    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        5    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
      413    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
      102    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      337    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
       48    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.000    0.000 sre_parse.py:287(seek)
        8    0.000    0.000    0.000    0.000 sre_parse.py:294(_class_escape)
        2    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
     15/5    0.000    0.000    0.001    0.000 sre_parse.py:407(_parse_sub)
     19/5    0.000    0.000    0.001    0.000 sre_parse.py:470(_parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:784(_parse_flags)
       22    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        5    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        6    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        5    0.000    0.000    0.002    0.000 sre_parse.py:844(parse)
        6    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:173(Formatter)
        1    0.000    0.000    0.000    0.000 string.py:55(_TemplateMetaclass)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.000    0.000 string.py:77(Template)
     1450    0.006    0.000    0.006    0.000 substitution.py:13(substitution)
 53652900    1.198    0.000    4.763    0.000 substitution.py:18(<genexpr>)
        1    0.000    0.000    0.022    0.022 substitution.py:3(<module>)
        1    0.000    0.000    0.016    0.016 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1158(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1188(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1207(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:203(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:215(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:239(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:242(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:254(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:334(notify)
        1    0.000    0.000    0.000    0.000 threading.py:357(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:369(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:449(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:487(Event)
        1    0.000    0.000    0.000    0.000 threading.py:498(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:512(set)
        1    0.000    0.000    0.000    0.000 threading.py:566(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:720(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:738(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:757(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:87(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:890(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:893(_set_tstate_lock)
        1    0.000    0.000    0.004    0.004 tokenize.py:1(<module>)
       20    0.000    0.000    0.000    0.000 tokenize.py:112(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:113(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:114(maybe)
        3    0.000    0.000    0.000    0.000 tokenize.py:137(_all_string_prefixes)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 tokenize.py:217(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:219(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:222(Untokenizer)
        1    0.000    0.000    0.000    0.000 tokenize.py:99(TokenInfo)
        1    0.000    0.000    0.011    0.011 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:316(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:438(TracebackException)
       54    0.000    0.000    0.000    0.000 types.py:145(__get__)
        2    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
     3338    0.010    0.000    0.013    0.000 utf_8.py:19(encode)
        1    0.000    0.000    0.000    0.000 util.py:3(<module>)
        2    0.000    0.000    0.000    0.000 util.py:32(strip_punc)
        1    0.000    0.000    0.000    0.000 util.py:39(permutation_from_key)
        1    0.000    0.000    0.000    0.000 utility.py:1(<module>)
        6    0.000    0.000    0.000    0.000 utility.py:16(_str_to_ffi_buffer)
       22    0.000    0.000    0.000    0.000 utility.py:27(_str_from_buf)
        1    0.000    0.000    0.000    0.000 weakref.py:122(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:314(update)
  130/128    0.002    0.000    0.005    0.000 {built-in function __build_class__}
        7    0.000    0.000    0.000    0.000 {built-in function __pypy__.builtinify}
        6    0.000    0.000    0.000    0.000 {built-in function _cffi_backend.callback}
     1564    0.006    0.000    0.006    0.000 {built-in function _codecs.utf_8_decode}
     3338    0.003    0.000    0.003    0.000 {built-in function _codecs.utf_8_encode}
        6    0.000    0.000    0.000    0.000 {built-in function _imp._fix_co_filename}
      906    0.000    0.000    0.000    0.000 {built-in function _imp.acquire_lock}
        8    0.000    0.000    0.000    0.000 {built-in function _imp.create_builtin}
        4    0.001    0.000    0.001    0.000 {built-in function _imp.create_dynamic}
        8    0.000    0.000    0.000    0.000 {built-in function _imp.exec_builtin}
        4    0.000    0.000    0.017    0.004 {built-in function _imp.exec_dynamic}
       43    0.000    0.000    0.000    0.000 {built-in function _imp.is_builtin}
       45    0.000    0.000    0.000    0.000 {built-in function _imp.is_frozen}
      906    0.000    0.000    0.000    0.000 {built-in function _imp.release_lock}
        2    0.000    0.000    0.000    0.000 {built-in function _io.open}
        2    0.000    0.000    0.000    0.000 {built-in function _locale.nl_langinfo}
        4    0.000    0.000    0.000    0.000 {built-in function _sre.getlower}
        1    0.000    0.000    0.000    0.000 {built-in function _thread._set_sentinel}
      356    0.000    0.000    0.000    0.000 {built-in function _thread.allocate_lock}
     1217    0.000    0.000    0.000    0.000 {built-in function _thread.get_ident}
       12    0.000    0.000    0.000    0.000 {built-in function callable}
       52    0.000    0.000    0.000    0.000 {built-in function chr}
       28    0.116    0.004    0.116    0.004 {built-in function compile}
        5    0.000    0.000    0.000    0.000 {built-in function divmod}
     40/1    0.002    0.000   36.975   36.975 {built-in function exec}
      697    0.001    0.000    0.001    0.000 {built-in function getattr}
       66    0.000    0.000    0.000    0.000 {built-in function globals}
      666    0.000    0.000    0.000    0.000 {built-in function hasattr}
       28    0.000    0.000    0.000    0.000 {built-in function id}
     1861    0.001    0.000    0.003    0.000 {built-in function isinstance}
  130/122    0.000    0.000    0.000    0.000 {built-in function issubclass}
     1702    0.001    0.000    0.001    0.000 {built-in function iter}
6202/6191    0.003    0.000    0.003    0.000 {built-in function len}
        9    0.000    0.000    0.000    0.000 {built-in function locals}
       28    0.006    0.000    0.006    0.000 {built-in function marshal.dumps}
        6    0.000    0.000    0.000    0.000 {built-in function marshal.loads}
       71    0.000    0.000    0.000    0.000 {built-in function math.ceil}
        1    0.000    0.000    0.000    0.000 {built-in function math.exp}
       73    0.000    0.000    0.000    0.000 {built-in function math.log}
        1    0.000    0.000    0.000    0.000 {built-in function math.sqrt}
     1904    0.002    0.000    0.006    0.000 {built-in function max}
       70    0.000    0.000    0.000    0.000 {built-in function min}
      325    0.000    0.000    0.000    0.000 {built-in function next}
 50913432    0.506    0.000    0.506    0.000 {built-in function ord}
      114    0.000    0.000    0.000    0.000 {built-in function posix.fspath}
       64    0.000    0.000    0.000    0.000 {built-in function posix.getcwd}
        6    0.000    0.000    0.000    0.000 {built-in function posix.listdir}
       30    0.001    0.000    0.001    0.000 {built-in function posix.open}
      308    0.003    0.000    0.008    0.000 {built-in function posix.stat}
        5    0.000    0.000    0.000    0.000 {built-in function repr}
      149    0.000    0.000    0.000    0.000 {built-in function setattr}
        5    0.000    0.000    0.000    0.000 {built-in function sys._getframe}
       18    0.000    0.000    0.000    0.000 {built-in function sys.intern}
        2    0.000    0.000    0.000    0.000 {built-in function time.time}
       27    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__import__' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method '__init__' of '_EnumDict' objects}
        1    0.000    0.000    0.000    0.000 {method '__init__' of '_TemplateMetaclass' objects}
        7    0.000    0.000    0.000    0.000 {method '__init__' of 'object' objects}
       59    0.000    0.000    0.000    0.000 {method '__new__' of 'EnumMeta' objects}
      302    0.000    0.000    0.000    0.000 {method '__new__' of 'structseqtype' objects}
       10    0.000    0.000    0.000    0.000 {method '__new__' of 'type' objects}
        1    0.000    0.000    0.000    0.000 {method '__next__' of 'itertools.count' objects}
       91    0.000    0.000    0.000    0.000 {method '__setattr__' of 'EnumMeta' objects}
      302    0.000    0.000    0.000    0.000 {method '__setattr__' of 'stat_result' objects}
       66    0.000    0.000    0.000    0.000 {method '__setitem__' of '_EnumDict' objects}
        8    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire_lock' of '_thread.lock' objects}
      215    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
 50907872    0.513    0.000    0.513    0.000 {method 'append' of 'collections.deque' objects}
      999    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
    24942    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
        6    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
       23    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       42    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       84    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       30    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       62    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1757    0.019    0.000    0.019    0.000 {method 'format' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'from_buffer' of 'CompiledFFI' objects}
       12    0.000    0.000    0.000    0.000 {method 'from_bytes' of 'type' objects}
       59    0.000    0.000    0.000    0.000 {method 'from_handle' of 'CompiledFFI' objects}
        1    0.000    0.000    0.000    0.000 {method 'fromkeys' of 'type' objects}
        6    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
        5    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       91    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    37008    0.004    0.000    0.004    0.000 {method 'getrandbits' of 'Random' objects}
        6    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       31    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
     1038    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      167    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      932    0.193    0.000    0.398    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'maketrans' of 'type' objects}
      102    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        5    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 {method 'new_handle' of 'CompiledFFI' objects}
      109    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       34    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       20    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        9    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
     3796    0.001    0.000    0.001    0.000 {method 'rjust' of 'str' objects}
      437    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     1140    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'seed' of 'Random' objects}
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        8    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     2463    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {method 'string' of 'CompiledFFI' objects}
       56    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        8    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
       23    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}


